PacketCounter,RF_Acc_X,RF_Acc_Y,RF_Acc_Z,RF_Gyr_X,RF_Gyr_Y,RF_Gyr_Z
0.0,5.078958657373199,-1.8538265314169375,8.795037969649844,0.0007952082263872336,0.013010515995217973,-0.010889482822520863
1.0,5.0807749456161835,-1.8451388121063514,8.762448654324329,0.0033810807069291297,0.01195896871917145,-0.006074791968366492
2.0,5.0822733207122,-1.8372134289752962,8.74066859428178,0.005553313208695872,0.01164725433503359,-0.0024835217955219164
3.0,5.083294091386763,-1.8312392479413835,8.735252452043918,0.007014985811786648,0.012323240648329768,-0.0007774098471401424
4.0,5.083825621949439,-1.8288226648129833,8.74381664435338,0.007640418209746566,0.013662246000233361,-0.0007970405538265653
5.0,5.083845703499446,-1.8314180451161561,8.757460907743715,0.007457103836640453,0.015128960927504707,-0.0017059976006801039
6.0,5.083166109310633,-1.839344708886509,8.76558679096415,0.006599282665355181,0.016490250287614472,-0.0024422740871825914
7.0,5.081444191782001,-1.8509302492510962,8.761643798449603,0.005271480009199512,0.018048893436725433,-0.002225384239583276
8.0,5.078372217475213,-1.8624741921182992,8.746723544336048,0.003717528540849477,0.02039052387925545,-0.0008648890106489081
9.0,5.073882082023125,-1.8694185734289706,8.72894714554551,0.0021700987759435365,0.023830197424162165,0.0012544892048315154
