PacketCounter,LF_Acc_X,LF_Acc_Y,LF_Acc_Z,LF_Gyr_X,LF_Gyr_Y,LF_Gyr_Z
0.0,4.988593084854191,1.43730574219738,8.855449818843175,-0.007131869048812834,-0.0133725619507112,0.010758106148537502
1.0,4.979077368921932,1.4324117240237908,8.851851320727471,-0.009533949272450822,-0.011172306762468718,0.015493655144647584
2.0,4.973037197828368,1.4266579753916666,8.852044535429506,-0.009340734570380212,-0.008890309694584169,0.018414599724509376
3.0,4.971842931335631,1.4202171453396222,8.85782030328086,-0.0035649667190068807,-0.006009141620016586,0.018516219931471924
4.0,4.974187659600023,1.4143428483604932,8.868012036990686,0.0066267669908129075,-0.004679738668584079,0.01598019437485484
5.0,4.977337244915417,1.4104329951621688,8.879020866172139,0.01763559617224815,-0.003191697764213839,0.011952097375421276
6.0,4.979177547629893,1.408968770343206,8.886459530654413,0.025074260654514645,-0.0008325332974837179,0.007896576454574557
7.0,4.9795237461684945,1.4093321895835993,8.887095178592958,0.025709908593065073,0.0019059171639998086,0.004907745059466664
8.0,4.97985849747802,1.4106881231077761,8.880296313492407,0.018911043492522747,0.004513277469467378,0.0033121297324899797
9.0,4.981917016579863,1.4130919627787475,8.868465427113303,0.00708015711341316,0.006364095300017209,0.0026952263845134877
