stage,n_features,cv_auc_mean,cv_auc_std,cv_folds,validation,nested_selection,global_rfecv_mask
before_all_features,2408,0.9415732711301329,0.014765084367331802,5,stratified_group_kfold,False,False
after_global_selection_grouped_cv_exploratory,20,0.8541854887956115,0.019233357607233843,5,stratified_group_kfold,False,True
