model,cohort,n,auc,auc_ci_low,auc_ci_high,auc_pr,f1,sensitivity,specificity,accuracy,evaluation_mode,validation_strategy
ensemble_soft_voting,ACL,11,,,,0.3333333333333333,0.17777777777777778,0.36363636363636365,0.6818181818181819,0.36363636363636365,full_nested,nested_group_cv
ensemble_soft_voting,CIPN,19,,,,,0.4722222222222222,0.8947368421052632,0.8947368421052632,0.8947368421052632,full_nested,nested_group_cv
ensemble_soft_voting,CVA,49,,,,0.3333333333333333,0.3076923076923077,0.8571428571428571,0.9285714285714286,0.8571428571428571,full_nested,nested_group_cv
ensemble_soft_voting,Healthy,73,,,,0.3333333333333333,0.2471264367816092,0.589041095890411,0.7945205479452054,0.589041095890411,full_nested,nested_group_cv
ensemble_soft_voting,HipOA,15,,,,0.3333333333333333,0.1111111111111111,0.2,0.6,0.2,full_nested,nested_group_cv
ensemble_soft_voting,KneeOA,18,,,,0.3333333333333333,0.12121212121212122,0.2222222222222222,0.6111111111111112,0.2222222222222222,full_nested,nested_group_cv
ensemble_soft_voting,PD,24,,,,,1.0,1.0,,1.0,full_nested,nested_group_cv
ensemble_soft_voting,RIL,51,,,,0.3333333333333333,0.2888888888888889,0.7647058823529411,0.8823529411764706,0.7647058823529411,full_nested,nested_group_cv
ensemble_stacking,ACL,11,,,,0.3333333333333333,0.17777777777777778,0.36363636363636365,0.6818181818181819,0.36363636363636365,full_nested,nested_group_cv
ensemble_stacking,CIPN,19,,,,,0.4722222222222222,0.8947368421052632,0.8947368421052632,0.8947368421052632,full_nested,nested_group_cv
ensemble_stacking,CVA,49,,,,0.3333333333333333,0.3076923076923077,0.8571428571428571,0.9285714285714286,0.8571428571428571,full_nested,nested_group_cv
ensemble_stacking,Healthy,73,,,,0.3333333333333333,0.2471264367816092,0.589041095890411,0.7945205479452054,0.589041095890411,full_nested,nested_group_cv
ensemble_stacking,HipOA,15,,,,0.3333333333333333,0.14035087719298245,0.26666666666666666,0.6333333333333333,0.26666666666666666,full_nested,nested_group_cv
ensemble_stacking,KneeOA,18,,,,0.3333333333333333,0.12121212121212122,0.2222222222222222,0.6111111111111112,0.2222222222222222,full_nested,nested_group_cv
ensemble_stacking,PD,24,,,,,1.0,1.0,,1.0,full_nested,nested_group_cv
ensemble_stacking,RIL,51,,,,0.3333333333333333,0.2888888888888889,0.7647058823529411,0.8823529411764706,0.7647058823529411,full_nested,nested_group_cv
lightgbm,ACL,11,,,,0.3333333333333333,0.17777777777777778,0.36363636363636365,0.6818181818181818,0.36363636363636365,full_nested,nested_group_cv
lightgbm,CIPN,19,,,,,0.42424242424242425,0.7368421052631579,0.7368421052631579,0.7368421052631579,full_nested,nested_group_cv
lightgbm,CVA,49,,,,0.3333333333333333,0.25833333333333336,0.6326530612244898,0.8163265306122449,0.6326530612244898,full_nested,nested_group_cv
lightgbm,Healthy,73,,,,0.3333333333333333,0.2542372881355932,0.6164383561643836,0.8082191780821917,0.6164383561643836,full_nested,nested_group_cv
lightgbm,HipOA,15,,,,0.3333333333333333,0.21212121212121213,0.4666666666666667,0.7333333333333334,0.4666666666666667,full_nested,nested_group_cv
lightgbm,KneeOA,18,,,,0.3333333333333333,0.20512820512820515,0.4444444444444444,0.7222222222222222,0.4444444444444444,full_nested,nested_group_cv
lightgbm,PD,24,,,,0.3333333333333333,0.3111111111111111,0.875,0.9375,0.875,full_nested,nested_group_cv
lightgbm,RIL,51,,,,0.3333333333333333,0.25203252032520324,0.6078431372549019,0.803921568627451,0.6078431372549019,full_nested,nested_group_cv
