model,auc_grouped_loso,auc_ungrouped_kfold,auc_inflation,inflation_pct,grouped_strategy,ungrouped_strategy,n_participants
xgboost,0.7898904310077578,0.8040110143620806,0.014120583354322758,1.7876635541108878,LOSO,StratifiedKFold(k=10),260
lightgbm,0.7633541680603604,0.7926883098484009,0.029334141788040502,3.842795783605151,LOSO,StratifiedKFold(k=10),260
random_forest,0.7821134837001642,0.7915265056334603,0.009413021933296073,1.2035365874987485,LOSO,StratifiedKFold(k=10),260
svm,0.7966113538445869,0.8123889834526935,0.01577762960810658,1.9805931123100824,LOSO,StratifiedKFold(k=10),260
mlp,0.7581403083653906,0.7270118060443016,-0.03112850232108899,-4.105902558340231,LOSO,StratifiedKFold(k=10),260
