model,label_mode,auc,auc_ci_low,auc_ci_high,macro_f1,accuracy,evaluation_mode,validation_strategy,participants
dl_inception_time,multiclass,0.9171499398970524,0.8889599128826423,0.9431541420510419,0.7234232635940847,0.7730769230769231,loso_dl,LOSO,260
dl_gait_transformer,multiclass,0.9211179499963875,0.8953885123251257,0.9453253952040647,0.7159846588155573,0.7653846153846153,loso_dl,LOSO,260
dl_tcn,multiclass,0.9152019255566075,0.8860182703590425,0.9418816554821515,0.7766800294731059,0.8153846153846154,loso_dl,LOSO,260
dl_cnn1d,multiclass,0.9181843288371833,0.8900917823423464,0.9439542844023707,0.7413942877357512,0.7923076923076923,loso_dl,LOSO,260
dl_bilstm_attention,multiclass,0.929178260947125,0.9040835800396377,0.9515714278641558,0.77242822496956,0.8115384615384615,loso_dl,LOSO,260
