model,ensemble_method,auc,auc_ci_low,auc_ci_high,auc_pr,accuracy,f1,sensitivity,specificity,evaluation_mode
ensemble_stacking,stacking,0.795893877199147,0.7499492975685829,0.8405633663870792,0.6241408044173613,0.6807692307692308,0.5816173130547515,0.5716384072548456,0.8071698635424126,full_nested
ensemble_soft_voting,soft_voting,0.793834929257407,0.747115314677741,0.8385949777287081,0.6191855493802793,0.676923076923077,0.5726748020592014,0.564062649679088,0.8043208606934097,full_nested
