model,class,brier_score,ece,mean_predicted_prob,prevalence
svm,low (Healthy),0.14684939768615785,0.04388204524832407,0.2759303084509078,0.28076923076923077
svm,moderate (orthopedic: HipOA/KneeOA/ACL),0.12620482102633745,0.022062152409774136,0.17947646176961118,0.16923076923076924
svm,high (neurological: PD/CVA/CIPN/RIL),0.1714765338954718,0.060250123135079034,0.5445932297794809,0.55
